iter	MAE
0	131797.0599
1	130853.0904
2	129923.8821
3	129004.2493
4	128143.0939
5	127356.3084
6	126507.4459
7	125630.0466
8	124853.1481
9	124148.5318
10	123365.423
11	122647.6099
12	121753.5433
13	121101.6794
14	120265.0692
15	119600.2916
16	118866.0543
17	118321.5801
18	117687.5602
19	117085.8594
20	116566.8661
21	115948.9476
22	115325.4704
23	114856.1441
24	114310.9182
25	113831.0886
26	113279.7196
27	112536.2939
28	111987.7928
29	111404.2295
30	110855.0064
31	110451.7763
32	109826.5953
33	109229.0431
34	108580.3181
35	108152.2839
36	107505.9973
37	107090.4713
38	106612.9055
39	106114.7879
40	105581.3437
41	105186.4182
42	104607.3107
43	103978.4651
44	103462.3909
45	103043.944
46	102544.5763
47	101994.5907
48	101420.4025
49	100859.7453
50	100357.8925
51	99960.2756
52	99515.83855
53	99034.89692
54	98641.82543
55	98186.11067
56	97796.72864
57	97395.35258
58	97149.65233
59	96698.34412
60	96363.45885
61	95999.73883
62	95624.42987
63	95250.68113
64	94897.42944
65	94548.49487
66	94241.83557
67	93858.08632
68	93596.62217
69	93169.36665
70	92915.65327
71	92599.33652
72	92316.93533
73	91957.3869
74	91719.34059
75	91405.03459
76	91157.13529
77	90807.42597
78	90546.08319
79	90340.41547
80	90151.14966
81	89924.81935
82	89685.26614
83	89461.11656
84	89279.08423
85	89069.91668
86	88791.50572
87	88584.06603
88	88376.66538
89	88204.52727
90	87983.37918
91	87754.17034
92	87477.68334
93	87314.75426
94	87097.28118
95	86859.70817
96	86641.86194
97	86467.26385
98	86340.15272
99	86108.76104
100	85949.24252
101	85746.40976
102	85631.24558
103	85486.2957
104	85331.62714
105	85195.94245
106	84972.33613
107	84747.71769
108	84625.66453
109	84484.7024
110	84309.4393
111	84217.73514
