iter	Passed	Remaining
0	175	527096
1	283	425275
2	387	386830
3	512	383740
4	610	365627
5	694	346318
6	794	339723
7	899	336251
8	999	332074
9	1103	329925
10	1204	327194
11	1305	324974
12	1400	321709
13	1498	319553
14	1599	318223
15	1697	316558
16	1797	315403
17	1896	314163
18	1994	312858
19	2090	311516
20	2188	310418
21	2285	309380
22	2384	308699
23	2477	307161
24	2565	305266
25	2651	303256
26	2750	302850
27	2851	302667
28	2936	300807
29	3018	298823
30	3115	298399
31	3217	298389
32	3298	296603
33	3400	296603
34	3481	294893
35	3581	294854
36	3665	293509
37	3764	293405
38	3860	293125
39	3959	293009
40	4039	291560
41	4144	291885
42	4264	293267
43	4413	296499
44	4545	298460
45	4658	299153
46	4797	301414
47	4920	302580
48	5025	302642
49	5152	304016
50	5268	304663
51	5374	304707
52	5495	305578
53	5606	305869
54	5704	305457
55	5791	304468
56	5883	303793
57	5995	304093
58	6121	305124
59	6232	305400
60	6339	305416
61	6443	305328
62	6546	305168
63	6646	304889
64	6747	304671
65	6836	303928
66	6945	304056
67	7040	303581
68	7148	303637
69	7269	304269
70	7386	304701
71	7470	303814
72	7582	304037
73	7712	304938
74	7803	304347
75	7896	303815
76	8078	306670
77	8272	309911
78	8415	311175
79	8529	311341
80	8663	312189
81	8792	312898
82	8894	312591
83	8983	311850
84	9084	311548
85	9174	310876
86	9263	310157
87	9368	310009
88	9483	310170
89	9571	309483
90	9665	308968
91	9789	309438
92	9902	309546
93	10007	309390
94	10098	308812
95	10202	308612
96	10305	308431
97	10412	308323
98	10521	308302
99	10635	308430
100	10742	308342
101	10844	308103
102	10954	308098
103	11062	308051
104	11177	308168
105	11287	308163
106	11394	308068
107	11505	308081
108	11598	307621
109	11708	307618
110	11804	307248
111	11905	306997
